Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"verifyElementNotPresent(findTestObject(""Keranjang/Notifikasi add cart 1""), 0)",Edge Chromium 116,,,2023-08-31 10:50:57,2023-08-31 10:50:58,"0,506s",PASSED
,,,,,,,
Test Cases/Detail Products/TC-DetailProduct-Show-001,Edge Chromium 116,User ingin menampilkan Detail Products,,2023-08-31 10:50:58,2023-08-31 10:51:09,"11,361s",PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:50:58,2023-08-31 10:51:06,"8,412s",PASSED
"name_produk1 = getText(findTestObject(""Name Products/Nama Barang Sauce Labs Backpack""))",Edge Chromium 116,,,2023-08-31 10:51:06,2023-08-31 10:51:07,"0,527s",PASSED
"deskripsi_produk1 = getText(findTestObject(""Name Products/Deskripsi Barang""))",Edge Chromium 116,,,2023-08-31 10:51:07,2023-08-31 10:51:07,"0,395s",PASSED
"harga_produk1 = getText(findTestObject(""Name Products/Harga Barang""))",Edge Chromium 116,,,2023-08-31 10:51:07,2023-08-31 10:51:07,"0,357s",PASSED
"click(findTestObject(""Products/div_Sauce Labs Backpack""))",Edge Chromium 116,,,2023-08-31 10:51:07,2023-08-31 10:51:08,"0,423s",PASSED
"name_produk2 = getText(findTestObject(""Name Detail Products/Nama Barang Sauce Labs Backpack""))",Edge Chromium 116,,,2023-08-31 10:51:08,2023-08-31 10:51:08,"0,487s",PASSED
"deskripsi_produk2 = getText(findTestObject(""Name Detail Products/Deskripsi""))",Edge Chromium 116,,,2023-08-31 10:51:08,2023-08-31 10:51:09,"0,359s",PASSED
"harga_produk2 = getText(findTestObject(""Name Detail Products/Harga Barang""))",Edge Chromium 116,,,2023-08-31 10:51:09,2023-08-31 10:51:09,"0,399s",PASSED
"verifyMatch(name_produk2, name_produk1, false)",Edge Chromium 116,,,2023-08-31 10:51:09,2023-08-31 10:51:09,"0,002s",PASSED
"verifyMatch(deskripsi_produk2, deskripsi_produk1, false)",Edge Chromium 116,,,2023-08-31 10:51:09,2023-08-31 10:51:09,"0,000s",PASSED
"verifyMatch(harga_produk2, harga_produk1, false)",Edge Chromium 116,,,2023-08-31 10:51:09,2023-08-31 10:51:09,"0,000s",PASSED
,,,,,,,
Test Cases/Keranjang/TC-Cart-Nav-001,Edge Chromium 116,user klik buttom Continue shoping,,2023-08-31 10:51:09,2023-08-31 10:51:22,"13,224s",PASSED
"callTestCase(findTestCase(""Keranjang/TC-Cart-Show-002""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:51:09,2023-08-31 10:51:21,"11,968s",PASSED
"click(findTestObject(""Keranjang/button_Continue Shopping""))",Edge Chromium 116,,,2023-08-31 10:51:21,2023-08-31 10:51:22,"0,528s",PASSED
"verifyElementPresent(findTestObject(""Products/Title Products""), 0)",Edge Chromium 116,,,2023-08-31 10:51:22,2023-08-31 10:51:22,"0,462s",PASSED
,,,,,,,
Test Cases/Keranjang/TC-Cart-Nav-002,Edge Chromium 116,User ingin melihat product yang telah ditambahkan ke dalam keranjang,,2023-08-31 10:51:22,2023-08-31 10:51:36,"13,328s",PASSED
"callTestCase(findTestCase(""Keranjang/TC-Cart-Show-002""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:51:22,2023-08-31 10:51:35,"12,531s",PASSED
"click(findTestObject(""Products/div_Sauce Labs Backpack""))",Edge Chromium 116,,,2023-08-31 10:51:35,2023-08-31 10:51:36,"0,531s",PASSED
,,,,,,,
Test Cases/Keranjang/TC-Cart-Remove-001,Edge Chromium 116,User meremove product pada keranjang,,2023-08-31 10:53:50,2023-08-31 10:54:35,"44,156s",FAILED
"callTestCase(findTestCase(""Keranjang/TC-Cart-Show-002""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:53:50,2023-08-31 10:54:02,"11,817s",PASSED
"click(findTestObject(""Products/button_Remove""))",Edge Chromium 116,,,2023-08-31 10:54:02,2023-08-31 10:54:03,"0,517s",PASSED
"verifyElementText(findTestObject(""Keranjang/Notifikasi add cart 1""), ""0"")",Edge Chromium 116,,,2023-08-31 10:54:03,2023-08-31 10:54:35,"31,821s",FAILED
,,,,,,,
Test Cases/Keranjang/TC-Cart-Show-001,Edge Chromium 116,User can access cart page,,2023-08-31 10:54:35,2023-08-31 10:54:44,"9,218s",PASSED
"callTestCase(findTestCase(""Login/TC-Login-Success-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:54:35,2023-08-31 10:54:43,"8,245s",PASSED
"click(findTestObject(""Keranjang/a_Swag Labs_shopping_cart_link""))",Edge Chromium 116,,,2023-08-31 10:54:43,2023-08-31 10:54:44,"0,670s",PASSED
,,,,,,,
Test Cases/Keranjang/TC-Cart-Show-002,Edge Chromium 116,"User can access cart page after ""add to cart"" 1 product",,2023-08-31 10:54:44,2023-08-31 10:54:55,"11,159s",PASSED
"data = callTestCase(findTestCase(""Products/TC-Product-AddCart-001""), [:], STOP_ON_FAILURE)",Edge Chromium 116,,,2023-08-31 10:54:44,2023-08-31 10:54:54,"9,705s",PASSED
"name_cart = getText(findTestObject(""Name Products/Nama Barang Sauce Labs Backpack""))",Edge Chromium 116,,,2023-08-31 10:54:54,2023-08-31 10:54:54,"0,323s",PASSED
